ID,Fish,Spot,Na23 ppm,Mg24 ppm,Ni61 ppm,Cu63 ppm,Rb85 ppm,Sr88 ppm,Ba138 ppm
LAR64 - 14.d,LAR64,1,1373,15.14,1.05,0.161,0.0261,2762,1.1
LAR64 - 15.d,LAR64,1,1473,14.59,0.82,0.159,0.0313,2691,1.072
LAR64 - 16.d,LAR64,1,1347,23.51,0.73,0.185,0.0315,2900,1.183
LAR64 - 2.d,LAR64,2,1517,36.06,0.89,0.523,0.0299,2930,14.13
LAR64 - 3.d,LAR64,3,1484,37.58,0.79,0.346,0.0225,2646,2.855
LAR64 - 4.d,LAR64,4,1302,27.81,0.85,0.314,0.0283,2708,1.472
LAR64 - 5.d,LAR64,5,1244,24.68,1.22,0.234,0.0315,2856,1.299
LAR64 - 6.d,LAR64,6,1253,24.66,1.11,0.291,0.0228,2710,1.373
LAR64 - 7.d,LAR64,7,1272,23.97,1.14,0.395,0.0283,2541,1.198
LAR64 - 8.d,LAR64,8,1286,22.61,1.03,0.483,0.0269,2634,1.156
LAR64 - 9.d,LAR64,9,1221,16.79,0.92,0.139,0.0239,2687,1.083
LAR65 - 1.d,LAR65,1,2134,29.77,0.88,0.125,0.047,3732,28.29
LAR65 - 2.d,LAR65,2,2195,32.52,0.97,0.314,0.0464,2254,2.433
LAR65 - 3.d,LAR65,3,1611,18.78,0.98,0.1,0.0367,4123,11.96
LAR65 - 4.d,LAR65,4,1450,16.67,1.12,0.066,0.0366,2850,1.993
LAR65 - 5.d,LAR65,5,1445,16.22,1.07,0.073,0.0332,3294,6.02
LAR65 - 6.d,LAR65,6,1529,15.85,0.83,0.088,0.0364,2726,5.04
LAR65 - 7.d,LAR65,7,1440,16.7,1.19,0.082,0.0395,3054,2.971
LAR65 - 8.d,LAR65,8,1400,16.1,0.87,0.067,0.0346,3005,2.181
LAR65 - 9.d,LAR65,9,1315,19.32,1.06,0.062,0.0338,2829,1.483
LAR66 - 1.d,LAR66,1,2071,29.51,1.04,0.099,0.0391,2361,3.857
LAR66 - 10.d,LAR66,1,1003,15.86,1.17,0.089,0.0216,2937,18.52
LAR66 - 11.d,LAR66,1,1058,15.47,1.03,0.092,0.0261,3040,6.93
LAR66 - 12.d,LAR66,1,1203,16.95,1.22,0.103,0.0314,2905,8.94
LAR66 - 2.d,LAR66,2,1937,21.69,1.1,0.121,0.0349,2656,6.46
LAR66 - 3.d,LAR66,3,1321,15.36,0.89,0.124,0.0396,2546,31.27
LAR66 - 4.d,LAR66,4,1260,15.88,1.06,0.093,0.036,2800,67.5
LAR66 - 5.d,LAR66,5,1201,15.17,1.19,0.07,0.0343,2534,21.77
LAR66 - 6.d,LAR66,6,1179,14.82,0.99,0.058,0.0317,2864,11.42
LAR66 - 7.d,LAR66,7,1130,14.71,0.91,0.073,0.0285,2422,20.86
LAR66 - 8.d,LAR66,8,1314,15.47,0.9,0.072,0.0411,2610,21.37
LAR66 - 9.d,LAR66,9,1053,15.36,1.2,0.063,0.0261,2462,25
LAR67 - 1.d,LAR67,1,2022,29.81,1.26,1.84,0.0445,2368,2.861
LAR67 - 2.d,LAR67,2,2157,28.9,0.84,0.429,0.0404,2457,3.442
LAR67 - 3.d,LAR67,3,1789,19.99,0.93,0.384,0.0355,2980,2.969
LAR67 - 4.d,LAR67,4,1539,19.66,0.81,0.318,0.0271,3199,2.637
LAR67 - 5.d,LAR67,5,1441,18.61,1.08,0.578,0.0279,3542,10.4
LAR67 - 6.d,LAR67,6,1434,17.32,1.11,0.513,0.0308,3558,4.205
LAR67 - 7.d,LAR67,7,1428,19.23,0.94,0.112,0.0203,3196,4.228
LAR67 - 8.d,LAR67,8,1383,18.22,0.85,0.544,0.0235,3448,4.849
LAR67 - 9.d,LAR67,9,1322,18.74,1.34,0.302,0.0269,3254,7.7
LAR68 - 1.d,LAR68,1,2155,34,1.02,0.388,0.0574,3237,293.3
LAR68 - 2.d,LAR68,2,1902,20.64,1.17,0.164,0.0509,2750,52.3
LAR68 - 3.d,LAR68,3,1582,19.66,1.19,0.162,0.041,3277,35.08
LAR68 - 4.d,LAR68,4,1520,16.55,0.94,0.28,0.0362,3081,11.73
LAR68 - 5.d,LAR68,5,1437,18.45,1.05,0.128,0.0351,3548,15.98
LAR68 - 6.d,LAR68,6,1468,16.13,1.13,0.195,0.0347,3072,8.16
LAR68 - 7.d,LAR68,7,1508,18.02,0.82,0.321,0.0399,2974,6.531
LAR68 - 8.d,LAR68,8,1423,17.77,1.1,0.09,0.0327,2678,21.85
LAR68 - 9.d,LAR68,9,1362,16.04,1.11,0.104,0.029,3134,6.51
