Spot No,Spot No,Source file,Fish code,My code,Region,My site,Na23_ppm,Mg24_ppm,Ni60_ppm,Cu63_ppm,Sr88_ppm,Ba137_ppm
6,6,Slide21 -CL2 - 06.d,LC 15-08-08_02,CL2,Kimberley,Bigge Island N (2/5),1532,6.77,0.032,0.071,2925,1.92
7,7,Slide21 -CL2 - 07.d,LC 15-08-08_02,CL2,Kimberley,Bigge Island N (2/5),1578,7.17,0.037,0.066,2734,2.14
8,8,Slide21 -CL2 - 08.d,LC 15-08-08_02,CL2,Kimberley,Bigge Island N (2/5),1514,6.99,0.037,0.063,2703,2.59
9,9,Slide21 -CL2 - 09.d,LC 15-08-08_02,CL2,Kimberley,Bigge Island N (2/5),1435,6.72,0.041,0.076,3099,3.40
10,margin,Slide21 -CL2 - 10.d,LC 15-08-08_02,CL2,Kimberley,Bigge Island N (2/5),1561,6.66,0.051,0.090,3142,2.96
1,core,Slide22 -CL3 - 01.d,LC 15-08-08_03,CL3,Kimberley,Bigge Island N (2/5),3247,45.45,0.064,0.430,1727,3.71
2,2,Slide22 -CL3 - 02.d,LC 15-08-08_03,CL3,Kimberley,Bigge Island N (2/5),2245,14.99,0.035,0.111,1643,1.88
3,3,Slide22 -CL3 - 03.d,LC 15-08-08_03,CL3,Kimberley,Bigge Island N (2/5),1915,10.48,0.045,0.109,2229,3.05
4,4,Slide22 -CL3 - 04.d,LC 15-08-08_03,CL3,Kimberley,Bigge Island N (2/5),1702,8.12,0.030,0.088,2376,2.19
5,5,Slide22 -CL3 - 05.d,LC 15-08-08_03,CL3,Kimberley,Bigge Island N (2/5),1735,8.61,0.043,0.087,2200,1.83
6,6,Slide22 -CL3 - 06.d,LC 15-08-08_03,CL3,Kimberley,Bigge Island N (2/5),1639,7.14,0.041,0.081,2806,2.40
7,7,Slide22 -CL3 - 07.d,LC 15-08-08_03,CL3,Kimberley,Bigge Island N (2/5),1640,7.71,0.024,0.088,2474,2.16
8,8,Slide22 -CL3 - 08.d,LC 15-08-08_03,CL3,Kimberley,Bigge Island N (2/5),1655,7.35,0.040,0.096,2699,2.30
9,9,Slide22 -CL3 - 09.d,LC 15-08-08_03,CL3,Kimberley,Bigge Island N (2/5),1555,7.14,0.027,0.109,2881,2.52
10,margin,Slide22 -CL3 - 10.d,LC 15-08-08_03,CL3,Kimberley,Bigge Island N (2/5),1724,7.63,0.047,0.117,2437,2.27
1,core,Slide22 -CL4 - 01.d,LC 15-08-08_05,CL4,Kimberley,Bigge Island N (2/5),2932,46.83,0.024,0.234,1793,3.59
2,2,Slide22 -CL4 - 02.d,LC 15-08-08_05,CL4,Kimberley,Bigge Island N (2/5),2288,18.78,0.035,0.109,1584,1.26
3,3,Slide22 -CL4 - 03.d,LC 15-08-08_05,CL4,Kimberley,Bigge Island N (2/5),2103,16.87,0.035,0.095,1747,2.02
4,4,Slide22 -CL4 - 04.d,LC 15-08-08_05,CL4,Kimberley,Bigge Island N (2/5),1808,12.34,0.036,0.068,1946,2.04
5,5,Slide22 -CL4 - 05.d,LC 15-08-08_05,CL4,Kimberley,Bigge Island N (2/5),1708,9.05,0.036,0.079,2039,2.69
6,6,Slide22 -CL4 - 06.d,LC 15-08-08_05,CL4,Kimberley,Bigge Island N (2/5),1590,8.90,0.040,0.080,2198,2.36
7,7,Slide22 -CL4 - 07.d,LC 15-08-08_05,CL4,Kimberley,Bigge Island N (2/5),1592,10.80,0.030,0.092,1880,1.64
8,8,Slide22 -CL4 - 08.d,LC 15-08-08_05,CL4,Kimberley,Bigge Island N (2/5),1463,8.16,0.035,0.069,2236,1.69
9,9,Slide22 -CL4 - 09.d,LC 15-08-08_05,CL4,Kimberley,Bigge Island N (2/5),1431,7.66,0.036,0.085,2352,2.47
10,10,Slide22 -CL4 - 10.d,LC 15-08-08_05,CL4,Kimberley,Bigge Island N (2/5),1286,6.72,0.041,0.089,2901,2.92
11,11,Slide22 -CL4 - 11.d,LC 15-08-08_05,CL4,Kimberley,Bigge Island N (2/5),1319,7.46,0.038,0.080,2372,1.85
12,margin,Slide22 -CL4 - 12.d,LC 15-08-08_05,CL4,Kimberley,Bigge Island N (2/5),1268,7.76,0.035,0.132,2606,1.85
1,core,Slide23 -CP1 - 01.d,LC 020304,CP1,Pilbara,Cape Preston (1/5),3021,34.47,0.039,0.441,1755,4.87
2,2,Slide23 -CP1 - 02.d,LC 020304,CP1,Pilbara,Cape Preston (1/5),1910,13.61,0.036,0.204,1863,1.82
3,3,Slide23 -CP1 - 03.d,LC 020304,CP1,Pilbara,Cape Preston (1/5),1517,12.05,0.047,0.246,2313,1.90
4,4,Slide23 -CP1 - 04.d,LC 020304,CP1,Pilbara,Cape Preston (1/5),1473,10.28,0.040,0.201,3280,3.18
5,5,Slide23 -CP1 - 05.d,LC 020304,CP1,Pilbara,Cape Preston (1/5),1434,13.30,0.039,0.219,2859,2.44
6,6,Slide23 -CP1 - 06.d,LC 020304,CP1,Pilbara,Cape Preston (1/5),1418,14.56,0.035,0.222,3015,2.76
7,7,Slide23 -CP1 - 07.d,LC 020304,CP1,Pilbara,Cape Preston (1/5),1437,20.42,0.031,0.233,2891,2.56
8,8,Slide23 -CP1 - 08.d,LC 020304,CP1,Pilbara,Cape Preston (1/5),1378,21.08,0.054,0.207,3178,3.21
9,margin,Slide23 -CP1 - 09.d,LC 020304,CP1,Pilbara,Cape Preston (1/5),1374,40.50,0.035,0.225,3010,2.86
1,core,Slide20 -CF2 - 01.d,LC 020305,CP2,Pilbara,Cape Preston (1/5),2909,43.78,0.031,0.219,1418,2.25
2,2,Slide20 -CF2 - 02.d,LC 020305,CP2,Pilbara,Cape Preston (1/5),2938,35.67,0.033,0.125,1825,3.00
3,3,Slide20 -CF2 - 03.d,LC 020305,CP2,Pilbara,Cape Preston (1/5),2198,21.76,0.029,0.470,1977,2.51
4,4,Slide20 -CF2 - 04.d,LC 020305,CP2,Pilbara,Cape Preston (1/5),2050,12.58,0.028,0.086,2025,1.90
5,5,Slide20 -CF2 - 05.d,LC 020305,CP2,Pilbara,Cape Preston (1/5),2003,12.59,0.030,0.082,1835,1.64
6,6,Slide20 -CF2 - 06.d,LC 020305,CP2,Pilbara,Cape Preston (1/5),1809,19.65,0.026,0.068,1587,1.46
7,7,Slide20 -CF2 - 07.d,LC 020305,CP2,Pilbara,Cape Preston (1/5),1548,10.59,0.032,0.064,2060,2.36
8,8,Slide20 -CF2 - 08.d,LC 020305,CP2,Pilbara,Cape Preston (1/5),1442,6.97,0.036,0.090,2826,2.27
9,9,Slide20 -CF2 - 09.d,LC 020305,CP2,Pilbara,Cape Preston (1/5),1338,7.35,0.037,0.118,3039,2.76
10,10,Slide20 -CF2 - 10.d,LC 020305,CP2,Pilbara,Cape Preston (1/5),1330,7.91,0.043,0.112,2468,2.33
11,11,Slide20 -CF2 - 11.d,LC 020305,CP2,Pilbara,Cape Preston (1/5),1290,7.99,0.038,0.150,2991,2.71
12,margin,Slide20 -CF2 - 12.d,LC 020305,CP2,Pilbara,Cape Preston (1/5),1293,9.82,0.049,0.198,2977,2.97
1,core,Slide23 -CP2 - 01.d,LC 020301,CP3,Pilbara,Cape Preston (2/5),3039,41.80,0.330,1.190,1841,11.80
2,2,Slide23 -CP2 - 02.d,LC 020301,CP3,Pilbara,Cape Preston (2/5),1825,8.42,0.046,0.090,2426,4.55
3,3,Slide23 -CP2 - 03.d,LC 020301,CP3,Pilbara,Cape Preston (2/5),1640,7.67,0.036,0.070,2601,2.30
4,4,Slide23 -CP2 - 04.d,LC 020301,CP3,Pilbara,Cape Preston (2/5),1455,5.65,0.056,0.117,3065,1.92
5,5,Slide23 -CP2 - 05.d,LC 020301,CP3,Pilbara,Cape Preston (2/5),1463,6.06,0.042,0.153,3019,2.03
6,6,Slide23 -CP2 - 06.d,LC 020301,CP3,Pilbara,Cape Preston (2/5),1501,6.00,0.042,0.430,2853,2.05
7,7,Slide23 -CP2 - 07.d,LC 020301,CP3,Pilbara,Cape Preston (2/5),1430,6.01,0.039,0.104,2704,2.01
8,8,Slide23 -CP2 - 08.d,LC 020301,CP3,Pilbara,Cape Preston (2/5),1400,5.79,0.041,0.137,2873,2.26
9,9,Slide23 -CP2 - 09.d,LC 020301,CP3,Pilbara,Cape Preston (2/5),1398,5.78,0.059,0.164,2894,2.27
10,10,Slide23 -CP2 - 10.d,LC 020301,CP3,Pilbara,Cape Preston (2/5),1396,6.16,0.054,0.138,3065,2.22
11,margin,Slide23 -CP2 - 11.d,LC 020301,CP3,Pilbara,Cape Preston (2/5),1470,8.66,0.043,0.074,2638,2.32
1,core,Slide21 -CP4 - 01.d,LC 020302,CP4,Pilbara,Cape Preston (2/5),2350,32.27,0.048,0.118,1671,2.93
2,2,Slide21 -CP4 - 02.d,LC 020302,CP4,Pilbara,Cape Preston (2/5),1966,11.89,0.031,0.183,1965,3.24
3,3,Slide21 -CP4 - 03.d,LC 020302,CP4,Pilbara,Cape Preston (2/5),1784,7.72,0.047,0.083,2357,2.38
4,4,Slide21 -CP4 - 04.d,LC 020302,CP4,Pilbara,Cape Preston (2/5),1777,10.26,0.047,0.136,2230,2.35
5,5,Slide21 -CP4 - 05.d,LC 020302,CP4,Pilbara,Cape Preston (2/5),1536,6.66,0.040,0.090,2960,2.37
6,6,Slide21 -CP4 - 06.d,LC 020302,CP4,Pilbara,Cape Preston (2/5),1513,6.23,0.044,0.130,3299,2.33
7,7,Slide21 -CP4 - 07.d,LC 020302,CP4,Pilbara,Cape Preston (2/5),1455,7.02,0.035,0.125,2456,2.28
8,8,Slide21 -CP4 - 08.d,LC 020302,CP4,Pilbara,Cape Preston (2/5),1535,6.75,0.039,0.121,2292,1.55
9,9,Slide21 -CP4 - 09.d,LC 020302,CP4,Pilbara,Cape Preston (2/5),1443,6.30,0.085,0.166,3070,1.92
10,10,Slide21 -CP4 - 10.d,LC 020302,CP4,Pilbara,Cape Preston (2/5),1464,7.60,0.029,0.166,3212,2.38
11,margin,Slide21 -CP4 - 11.d,LC 020302,CP4,Pilbara,Cape Preston (2/5),1338,23.60,0.040,0.188,3004,2.34
1,core,Slide21 -CV2 - 01.d,LC 15-08-09_02,CV2,Kimberley,Cape Voltaire (4/5),3010,49.81,0.040,0.256,1578,5.63
2,2,Slide21 -CV2 - 02.d,LC 15-08-09_02,CV2,Kimberley,Cape Voltaire (4/5),2425,27.43,0.040,0.085,1685,5.60
3,3,Slide21 -CV2 - 03.d,LC 15-08-09_02,CV2,Kimberley,Cape Voltaire (4/5),1581,9.67,0.031,0.051,1788,3.43
4,4,Slide21 -CV2 - 04.d,LC 15-08-09_02,CV2,Kimberley,Cape Voltaire (4/5),1396,9.39,0.037,0.078,1999,3.98
5,5,Slide21 -CV2 - 05.d,LC 15-08-09_02,CV2,Kimberley,Cape Voltaire (4/5),1166,6.29,0.038,0.099,3038,5.12
6,6,Slide21 -CV2 - 06.d,LC 15-08-09_02,CV2,Kimberley,Cape Voltaire (4/5),1178,5.95,0.044,0.102,3277,4.62
7,7,Slide21 -CV2 - 07.d,LC 15-08-09_02,CV2,Kimberley,Cape Voltaire (4/5),1161,6.49,0.047,0.127,3097,4.58
8,8,Slide21 -CV2 - 08.d,LC 15-08-09_02,CV2,Kimberley,Cape Voltaire (4/5),1244,6.27,0.049,0.167,3344,5.12
9,9,Slide21 -CV2 - 09.d,LC 15-08-09_02,CV2,Kimberley,Cape Voltaire (4/5),1226,6.84,0.038,0.132,3458,5.28
10,margin,Slide21 -CV2 - 10.d,LC 15-08-09_02,CV2,Kimberley,Cape Voltaire (4/5),1331,7.98,0.048,0.114,3123,4.05
1,core,Slide23 -CV4 - 01.d,LC 15-08-09_07,CV4,Kimberley,Cape Voltaire (4/5),2925,37.70,0.042,0.504,1606,6.79
2,2,Slide23 -CV4 - 02.d,LC 15-08-09_07,CV4,Kimberley,Cape Voltaire (4/5),2382,12.73,0.033,0.124,1879,8.07
3,3,Slide23 -CV4 - 03.d,LC 15-08-09_07,CV4,Kimberley,Cape Voltaire (4/5),1943,12.80,0.039,0.094,1972,2.59
4,4,Slide23 -CV4 - 04.d,LC 15-08-09_07,CV4,Kimberley,Cape Voltaire (4/5),1761,10.20,0.036,0.143,2330,3.08
5,5,Slide23 -CV4 - 05.d,LC 15-08-09_07,CV4,Kimberley,Cape Voltaire (4/5),1683,7.34,0.022,0.116,2638,3.96
6,6,Slide23 -CV4 - 06.d,LC 15-08-09_07,CV4,Kimberley,Cape Voltaire (4/5),1712,9.62,0.042,0.125,2454,4.41
7,7,Slide23 -CV4 - 07.d,LC 15-08-09_07,CV4,Kimberley,Cape Voltaire (4/5),1611,8.33,0.040,0.213,2614,3.16
8,8,Slide23 -CV4 - 08.d,LC 15-08-09_07,CV4,Kimberley,Cape Voltaire (4/5),1597,6.98,0.039,0.108,2812,4.18
9,9,Slide23 -CV4 - 09.d,LC 15-08-09_07,CV4,Kimberley,Cape Voltaire (4/5),1691,7.47,0.035,0.130,2533,3.33
10,10,Slide23 -CV4 - 10.d,LC 15-08-09_07,CV4,Kimberley,Cape Voltaire (4/5),1582,6.70,0.039,0.151,2829,3.84
11,margin,Slide23 -CV4 - 11.d,LC 15-08-09_07,CV4,Kimberley,Cape Voltaire (4/5),1716,6.91,0.042,0.213,2741,2.95
1,core,Slide21 -DC5 - 01.d,LC-M3-04,DC5,Pilbara,Gossypium Island,3012,54.29,0.052,0.399,2135,3.25
2,2,Slide21 -DC5 - 02.d,LC-M3-04,DC5,Pilbara,Gossypium Island,2011,10.23,0.040,0.181,1814,1.21
3,3,Slide21 -DC5 - 03.d,LC-M3-04,DC5,Pilbara,Gossypium Island,1780,10.87,0.045,0.176,2056,1.45
4,4,Slide21 -DC5 - 04.d,LC-M3-04,DC5,Pilbara,Gossypium Island,1695,10.13,0.048,0.177,2208,2.11
5,5,Slide21 -DC5 - 05.d,LC-M3-04,DC5,Pilbara,Gossypium Island,1510,9.82,0.039,0.225,2948,1.98
6,6,Slide21 -DC5 - 06.d,LC-M3-04,DC5,Pilbara,Gossypium Island,1473,14.76,0.055,0.745,3130,2.59
7,7,Slide21 -DC5 - 07.d,LC-M3-04,DC5,Pilbara,Gossypium Island,1506,13.40,0.051,0.519,3329,3.01
8,8,Slide21 -DC5 - 08.d,LC-M3-04,DC5,Pilbara,Gossypium Island,1426,12.50,0.042,0.514,3084,2.82
9,9,Slide21 -DC5 - 09.d,LC-M3-04,DC5,Pilbara,Gossypium Island,1456,16.41,0.053,1.130,3390,2.82
10,10,Slide21 -DC5 - 10.d,LC-M3-04,DC5,Pilbara,Gossypium Island,1479,20.63,0.055,1.067,3342,2.65
11,11,Slide21 -DC5 - 11.d,LC-M3-04,DC5,Pilbara,Gossypium Island,1408,17.90,0.044,0.620,3220,3.06
12,margin,Slide21 -DC5 - 12.d,LC-M3-04,DC5,Pilbara,Gossypium Island,1458,28.07,0.105,0.777,3281,2.98
1,core,Slide21 -DC6 - 01.d,LC-M3-08,DC6,Pilbara,Gossypium Island,2761,44.68,0.046,0.189,1821,1.80
2,2,Slide21 -DC6 - 02.d,LC-M3-08,DC6,Pilbara,Gossypium Island,2142,13.77,0.041,0.186,1940,1.52
3,3,Slide21 -DC6 - 03.d,LC-M3-08,DC6,Pilbara,Gossypium Island,2173,14.18,0.041,0.142,1935,1.28
4,4,Slide21 -DC6 - 04.d,LC-M3-08,DC6,Pilbara,Gossypium Island,2177,12.83,0.043,0.124,1724,1.53
5,5,Slide21 -DC6 - 05.d,LC-M3-08,DC6,Pilbara,Gossypium Island,1779,13.30,0.043,0.115,2428,1.55
6,6,Slide21 -DC6 - 06.d,LC-M3-08,DC6,Pilbara,Gossypium Island,1676,12.95,0.040,0.109,2845,2.00
7,7,Slide21 -DC6 - 07.d,LC-M3-08,DC6,Pilbara,Gossypium Island,1571,17.49,0.036,0.133,2863,2.07
8,8,Slide21 -DC6 - 08.d,LC-M3-08,DC6,Pilbara,Gossypium Island,1618,17.65,0.044,0.154,3241,2.21
9,9,Slide21 -DC6 - 09.d,LC-M3-08,DC6,Pilbara,Gossypium Island,1640,20.91,0.037,0.137,3094,2.40
10,margin,Slide21 -DC6 - 10.d,LC-M3-08,DC6,Pilbara,Gossypium Island,1565,29.70,0.060,0.221,3510,2.88
1,core,Slide22 -OC7 - 01.d,LC-M3-01,DC7,Pilbara,Gossypium Island,2996,50.11,0.027,0.186,1837,1.85
2,2,Slide22 -OC7 - 02.d,LC-M3-01,DC7,Pilbara,Gossypium Island,1875,9.14,0.035,0.110,1884,1.30
3,3,Slide22 -OC7 - 03.d,LC-M3-01,DC7,Pilbara,Gossypium Island,1634,7.00,0.045,0.078,2284,1.21
4,4,Slide22 -OC7 - 04.d,LC-M3-01,DC7,Pilbara,Gossypium Island,1589,9.01,0.038,0.110,2445,1.35
5,5,Slide22 -OC7 - 05.d,LC-M3-01,DC7,Pilbara,Gossypium Island,1397,9.71,0.056,0.132,3197,2.22
6,6,Slide22 -OC7 - 06.d,LC-M3-01,DC7,Pilbara,Gossypium Island,1462,11.51,0.086,0.164,3305,2.10
7,7,Slide22 -OC7 - 07.d,LC-M3-01,DC7,Pilbara,Gossypium Island,1470,12.88,0.062,0.194,2983,2.04
8,8,Slide22 -OC7 - 08.d,LC-M3-01,DC7,Pilbara,Gossypium Island,1375,12.69,0.035,0.224,3361,1.81
9,9,Slide22 -OC7 - 09.d,LC-M3-01,DC7,Pilbara,Gossypium Island,1413,15.87,0.057,0.311,3335,1.94
10,margin,Slide22 -OC7 - 10.d,LC-M3-01,DC7,Pilbara,Gossypium Island,1395,15.41,0.046,0.218,3216,1.88
1,core,Slide20 -CC8 - 01.d,LC-M3-02,DC8,Pilbara,Gossypium Island,3008,54.34,0.034,0.537,2482,8.04
2,2,Slide20 -CC8 - 02.d,LC-M3-02,DC8,Pilbara,Gossypium Island,2419,18.12,0.025,0.132,2479,2.36
3,3,Slide20 -CC8 - 03.d,LC-M3-02,DC8,Pilbara,Gossypium Island,1959,9.74,0.034,0.125,1931,1.13
4,4,Slide20 -CC8 - 04.d,LC-M3-02,DC8,Pilbara,Gossypium Island,2021,12.55,0.030,0.106,1771,1.17
5,5,Slide20 -CC8 - 05.d,LC-M3-02,DC8,Pilbara,Gossypium Island,1789,13.33,0.041,0.120,2045,2.07
6,6,Slide20 -CC8 - 06.d,LC-M3-02,DC8,Pilbara,Gossypium Island,1697,13.42,0.044,0.167,2499,1.52
7,7,Slide20 -CC8 - 07.d,LC-M3-02,DC8,Pilbara,Gossypium Island,1641,12.20,0.036,0.098,2306,1.68
8,8,Slide20 -CC8 - 08.d,LC-M3-02,DC8,Pilbara,Gossypium Island,1483,12.05,0.030,0.114,2779,1.96
9,margin,Slide20 -CC8 - 09.d,LC-M3-02,DC8,Pilbara,Gossypium Island,1533,12.08,0.043,0.106,2494,1.71
1,core,Slide21 -DD1 - 01.d,LC-M1-18,DD1,Pilbara,Dandelion Island (2/3),3115,57.53,0.130,1.330,2343,9.16
2,2,Slide21 -DD1 - 02.d,LC-M1-18,DD1,Pilbara,Dandelion Island (2/3),2937,51.00,0.047,0.749,2008,4.34
3,3,Slide21 -DD1 - 03.d,LC-M1-18,DD1,Pilbara,Dandelion Island (2/3),2551,15.12,0.039,0.218,1619,1.91
4,4,Slide21 -DD1 - 04.d,LC-M1-18,DD1,Pilbara,Dandelion Island (2/3),2491,20.96,0.045,0.357,1848,2.36
5,5,Slide21 -DD1 - 05.d,LC-M1-18,DD1,Pilbara,Dandelion Island (2/3),2093,10.57,0.044,1.260,2563,1.80
6,6,Slide21 -DD1 - 06.d,LC-M1-18,DD1,Pilbara,Dandelion Island (2/3),2012,15.13,0.040,0.125,1990,1.37
7,7,Slide21 -DD1 - 07.d,LC-M1-18,DD1,Pilbara,Dandelion Island (2/3),2026,10.20,0.046,1.440,2429,1.69
8,8,Slide21 -DD1 - 08.d,LC-M1-18,DD1,Pilbara,Dandelion Island (2/3),2019,12.88,0.059,0.188,1964,1.50
9,9,Slide21 -DD1 - 09.d,LC-M1-18,DD1,Pilbara,Dandelion Island (2/3),2120,11.80,0.048,0.393,2085,1.76
10,margin,Slide21 -DD1 - 10.d,LC-M1-18,DD1,Pilbara,Dandelion Island (2/3),2154,12.40,0.067,0.590,2004,1.81
1,core,Slide19 -DD2 - 01.d,LC-M1-26,DD2,Pilbara,Dandelion Island (1/3),3329,55.77,0.045,0.689,1725,7.94
2,2,Slide19 -DD2 - 02.d,LC-M1-26,DD2,Pilbara,Dandelion Island (1/3),2660,19.81,0.037,0.294,1840,3.04
3,3,Slide19 -DD2 - 03.d,LC-M1-26,DD2,Pilbara,Dandelion Island (1/3),2529,15.93,0.046,0.205,2072,2.66
4,4,Slide19 -DD2 - 04.d,LC-M1-26,DD2,Pilbara,Dandelion Island (1/3),2190,11.25,0.043,0.160,2248,1.59
5,5,Slide19 -DD2 - 05.d,LC-M1-26,DD2,Pilbara,Dandelion Island (1/3),2240,9.76,0.042,0.162,2119,1.51
6,6,Slide19 -DD2 - 06.d,LC-M1-26,DD2,Pilbara,Dandelion Island (1/3),2202,11.55,0.033,0.133,1999,1.73
7,7,Slide19 -DD2 - 07.d,LC-M1-26,DD2,Pilbara,Dandelion Island (1/3),2153,11.55,0.039,0.139,2221,2.54
8,8,Slide19 -DD2 - 08.d,LC-M1-26,DD2,Pilbara,Dandelion Island (1/3),1798,8.21,0.044,0.193,2689,1.64
9,9,Slide19 -DD2 - 09.d,LC-M1-26,DD2,Pilbara,Dandelion Island (1/3),1819,8.44,0.039,0.151,2370,1.66
10,margin,Slide19 -DD2 - 10.d,LC-M1-26,DD2,Pilbara,Dandelion Island (1/3),1736,8.92,0.047,0.228,2431,1.62
1,core,Slide22 -DD3 - 01.d,LC-M1-17,DD3,Pilbara,Dandelion Island (3/3),2916,51.97,0.042,0.218,1971,3.28
2,2,Slide22 -DD3 - 02.d,LC-M1-17,DD3,Pilbara,Dandelion Island (3/3),1933,9.58,0.036,0.092,2337,2.63
3,3,Slide22 -DD3 - 03.d,LC-M1-17,DD3,Pilbara,Dandelion Island (3/3),2175,13.00,0.032,0.102,2101,1.46
4,4,Slide22 -DD3 - 04.d,LC-M1-17,DD3,Pilbara,Dandelion Island (3/3),1882,10.49,0.032,0.077,2592,1.56
5,5,Slide22 -DD3 - 05.d,LC-M1-17,DD3,Pilbara,Dandelion Island (3/3),1800,13.30,0.047,0.077,2625,2.03
6,6,Slide22 -DD3 - 06.d,LC-M1-17,DD3,Pilbara,Dandelion Island (3/3),1779,12.14,0.029,0.125,2861,2.28
7,7,Slide22 -DD3 - 07.d,LC-M1-17,DD3,Pilbara,Dandelion Island (3/3),1847,14.10,0.036,0.121,2726,2.00
8,8,Slide22 -DD3 - 08.d,LC-M1-17,DD3,Pilbara,Dandelion Island (3/3),1751,15.88,0.043,0.163,2824,2.00
9,9,Slide22 -DD3 - 09.d,LC-M1-17,DD3,Pilbara,Dandelion Island (3/3),1748,13.91,0.032,0.107,2928,2.47
10,10,Slide22 -DD3 - 10.d,LC-M1-17,DD3,Pilbara,Dandelion Island (3/3),1745,14.74,0.030,0.103,2914,2.18
11,margin,Slide22 -DD3 - 11.d,LC-M1-17,DD3,Pilbara,Dandelion Island (3/3),1732,19.69,0.036,0.153,2903,1.97
1,core,Slide21 -DD4 - 01.d,LC-M1-19,DD4,Pilbara,Dandelion Island (1/3),2820,38.00,0.047,3.660,1655,6.79
2,2,Slide21 -DD4 - 02.d,LC-M1-19,DD4,Pilbara,Dandelion Island (1/3),2087,13.82,0.060,0.563,1858,1.72
3,3,Slide21 -DD4 - 03.d,LC-M1-19,DD4,Pilbara,Dandelion Island (1/3),1678,10.62,0.046,0.812,1927,0.91
4,4,Slide21 -DD4 - 04.d,LC-M1-19,DD4,Pilbara,Dandelion Island (1/3),1460,9.23,0.040,1.370,2383,2.09
5,5,Slide21 -DD4 - 05.d,LC-M1-19,DD4,Pilbara,Dandelion Island (1/3),1415,7.97,0.042,1.049,2737,2.06
6,6,Slide21 -DD4 - 06.d,LC-M1-19,DD4,Pilbara,Dandelion Island (1/3),1454,8.49,0.036,1.020,2477,1.86
7,7,Slide21 -DD4 - 07.d,LC-M1-19,DD4,Pilbara,Dandelion Island (1/3),1429,8.14,0.032,1.172,3105,2.52
8,8,Slide21 -DD4 - 08.d,LC-M1-19,DD4,Pilbara,Dandelion Island (1/3),1421,8.90,0.032,1.960,3268,2.43
9,9,Slide21 -DD4 - 09.d,LC-M1-19,DD4,Pilbara,Dandelion Island (1/3),1515,9.30,0.035,1.305,2832,2.16
10,10,Slide21 -DD4 - 10.d,LC-M1-19,DD4,Pilbara,Dandelion Island (1/3),1472,8.63,0.039,1.489,2875,1.86
11,11,Slide21 -DD4 - 11.d,LC-M1-19,DD4,Pilbara,Dandelion Island (1/3),1443,10.64,0.042,3.140,2858,1.97
12,margin,Slide21 -DD4 - 12.d,LC-M1-19,DD4,Pilbara,Dandelion Island (1/3),1485,12.42,0.041,2.890,2838,1.72
1,core,Da - 1.d,LC-SB2-05,DE1,Gascoyne,Dorre Island,4016,74.30,0.214,1.464,1803,1.30
2,2,Da - 2.d,LC-SB2-05,DE1,Gascoyne,Dorre Island,2996,36.59,0.148,0.431,1996,4.72
3,3,Da - 3.d,LC-SB2-05,DE1,Gascoyne,Dorre Island,2352,21.99,0.211,1.036,1990,1.36
4,4,Da - 4.d,LC-SB2-05,DE1,Gascoyne,Dorre Island,1902,25.98,0.224,1.479,2638,1.76
5,5,Da - 5.d,LC-SB2-05,DE1,Gascoyne,Dorre Island,1845,27.10,0.205,1.222,3155,2.24
6,margin,Da - 6.d,LC-SB2-05,DE1,Gascoyne,Dorre Island,1825,71.60,Below LOD,5.100,3050,3.16
1,core,Ce - 1.d,LC-SB2-03,DE2,Gascoyne,Dorre Island,3476,64.50,0.254,1.912,1724,12.15
2,2,Ce - 2.d,LC-SB2-03,DE2,Gascoyne,Dorre Island,3432,45.40,0.196,0.281,1882,3.03
3,3,Ce - 3.d,LC-SB2-03,DE2,Gascoyne,Dorre Island,2874,24.18,0.184,0.193,1848,3.10
4,4,Ce - 4.d,LC-SB2-03,DE2,Gascoyne,Dorre Island,2663,21.64,0.176,0.175,1382,0.87
5,5,Ce - 5.d,LC-SB2-03,DE2,Gascoyne,Dorre Island,2738,23.55,0.146,0.228,1308,0.82
6,6,Ce - 6.d,LC-SB2-03,DE2,Gascoyne,Dorre Island,2451,21.58,0.205,0.205,1454,1.21
7,7,Ce - 7.d,LC-SB2-03,DE2,Gascoyne,Dorre Island,2494,20.84,0.165,0.159,1595,1.47
8,8,Ce - 8.d,LC-SB2-03,DE2,Gascoyne,Dorre Island,2540,14.69,0.179,0.164,2619,5.56
9,9,Ce - 9.d,LC-SB2-03,DE2,Gascoyne,Dorre Island,2208,16.33,0.218,0.342,3190,4.92
10,10,Ce - 10.d,LC-SB2-03,DE2,Gascoyne,Dorre Island,2080,14.69,0.146,0.261,2980,4.34
11,11,Ce - 11.d,LC-SB2-03,DE2,Gascoyne,Dorre Island,1956,13.63,0.171,0.315,2640,3.45
12,12,Ce - 12.d,LC-SB2-03,DE2,Gascoyne,Dorre Island,1890,12.25,0.179,0.197,2880,3.11
13,13,Ce - 13.d,LC-SB2-03,DE2,Gascoyne,Dorre Island,1855,12.18,0.138,0.214,2722,3.14
14,14,Ce - 14.d,LC-SB2-03,DE2,Gascoyne,Dorre Island,1807,12.00,0.181,0.146,2806,3.51
15,15,Ce - 15.d,LC-SB2-03,DE2,Gascoyne,Dorre Island,1826,11.99,0.167,0.153,3237,4.25
16,16,Ce - 16.d,LC-SB2-03,DE2,Gascoyne,Dorre Island,1773,11.23,0.157,0.151,3154,4.54
17,17,Ce - 17.d,LC-SB2-03,DE2,Gascoyne,Dorre Island,1885,12.36,0.211,0.251,3205,4.72
