Spot No,Spot No,Source file,Fish code,My code,Region,My site,Na23_ppm,Mg24_ppm,Ni60_ppm,Cu63_ppm,Sr88_ppm,Ba137_ppm
16,16,Ea - 16.d,LC 15-08-07_01,BB1,Kimberley,Bigge Island E (6/6),1309,9.61,0.188,0.207,3880,3.20
17,17,Ea - 17.d,LC 15-08-07_01,BB1,Kimberley,Bigge Island E (6/6),1289,10.57,0.161,0.209,3820,2.81
18,margin,Ea - 18.d,LC 15-08-07_01,BB1,Kimberley,Bigge Island E (6/6),1226,24.70,0.308,3.430,3811,3.22
1,core,Je - 1.d,LC 15-08-07_02,BB2,Kimberley,Bigge Island E (6/6),2936,27.89,0.185,0.313,2124,10.19
2,2,Je - 2.d,LC 15-08-07_02,BB2,Kimberley,Bigge Island E (6/6),2199,12.29,0.180,0.194,3014,3.68
3,3,Je - 3.d,LC 15-08-07_02,BB2,Kimberley,Bigge Island E (6/6),2318,12.22,0.167,0.173,2677,2.73
4,4,Je - 4.d,LC 15-08-07_02,BB2,Kimberley,Bigge Island E (6/6),2137,11.31,0.210,0.170,2816,2.47
5,5,Je - 5.d,LC 15-08-07_02,BB2,Kimberley,Bigge Island E (6/6),1975,11.46,0.185,0.215,2791,1.77
6,6,Je - 6.d,LC 15-08-07_02,BB2,Kimberley,Bigge Island E (6/6),1837,11.71,0.191,0.213,2923,1.98
7,7,Je - 7.d,LC 15-08-07_02,BB2,Kimberley,Bigge Island E (6/6),1792,10.85,0.193,0.204,3350,3.78
8,8,Je - 8.d,LC 15-08-07_02,BB2,Kimberley,Bigge Island E (6/6),1812,10.61,0.173,0.202,3374,3.58
9,9,Je - 9.d,LC 15-08-07_02,BB2,Kimberley,Bigge Island E (6/6),1778,15.87,0.282,1.420,3345,3.73
10,margin,Je - 10.d,LC 15-08-07_02,BB2,Kimberley,Bigge Island E (6/6),1560,26.69,0.454,2.840,3152,3.59
1,core,Ad - 1.d,LC 15-08-07_03,BB3,Kimberley,Bigge Island E (6/6),3190,42.70,0.233,0.985,2138,12.39
2,2,Ad - 2.d,LC 15-08-07_03,BB3,Kimberley,Bigge Island E (6/6),2507,31.53,0.192,0.272,2131,5.33
3,3,Ad - 3.d,LC 15-08-07_03,BB3,Kimberley,Bigge Island E (6/6),2425,26.03,0.204,0.289,2561,2.73
4,4,Ad - 4.d,LC 15-08-07_03,BB3,Kimberley,Bigge Island E (6/6),2436,21.98,0.217,0.255,2310,1.84
5,5,Ad - 5.d,LC 15-08-07_03,BB3,Kimberley,Bigge Island E (6/6),1680,12.73,0.195,0.343,3199,2.90
6,6,Ad - 6.d,LC 15-08-07_03,BB3,Kimberley,Bigge Island E (6/6),1510,9.88,0.163,0.209,3376,3.56
7,7,Ad - 7.d,LC 15-08-07_03,BB3,Kimberley,Bigge Island E (6/6),1405,10.12,0.193,0.196,2980,3.05
8,8,Ad - 8.d,LC 15-08-07_03,BB3,Kimberley,Bigge Island E (6/6),1487,10.12,0.195,0.195,3345,3.49
9,9,Ad - 9.d,LC 15-08-07_03,BB3,Kimberley,Bigge Island E (6/6),1526,10.03,0.204,0.303,3769,4.53
10,10,Ad - 10.d,LC 15-08-07_03,BB3,Kimberley,Bigge Island E (6/6),1497,9.62,0.212,0.313,3764,3.69
11,11,Ad - 11.d,LC 15-08-07_03,BB3,Kimberley,Bigge Island E (6/6),1550,11.12,0.215,0.414,3651,3.93
12,margin,Ad - 12.d,LC 15-08-07_03,BB3,Kimberley,Bigge Island E (6/6),1557,10.97,0.211,0.323,3511,3.80
1,core,Ba - 1.d,LC 15-08-07_05,BB4,Kimberley,Bigge Island E (6/6),3334,53.10,0.214,0.897,1983,3.65
2,2,Ba - 2.d,LC 15-08-07_05,BB4,Kimberley,Bigge Island E (6/6),2753,38.08,0.227,0.391,1924,8.36
3,3,Ba - 3.d,LC 15-08-07_05,BB4,Kimberley,Bigge Island E (6/6),2044,23.28,0.161,0.160,2055,2.68
4,4,Ba - 4.d,LC 15-08-07_05,BB4,Kimberley,Bigge Island E (6/6),2433,34.73,0.197,0.192,1757,2.86
5,5,Ba - 5.d,LC 15-08-07_05,BB4,Kimberley,Bigge Island E (6/6),2389,23.30,0.216,0.262,2235,3.63
6,6,Ba - 6.d,LC 15-08-07_05,BB4,Kimberley,Bigge Island E (6/6),2310,17.25,0.189,0.238,2187,3.23
7,7,Ba - 7.d,LC 15-08-07_05,BB4,Kimberley,Bigge Island E (6/6),2159,13.86,0.229,0.203,2160,1.96
8,8,Ba - 8.d,LC 15-08-07_05,BB4,Kimberley,Bigge Island E (6/6),2362,13.66,0.183,0.250,2473,2.72
9,9,Ba - 9.d,LC 15-08-07_05,BB4,Kimberley,Bigge Island E (6/6),2244,18.31,0.215,0.373,2939,3.24
10,10,Ba - 10.d,LC 15-08-07_05,BB4,Kimberley,Bigge Island E (6/6),1874,13.04,0.246,0.250,2594,2.79
11,11,Ba - 11.d,LC 15-08-07_05,BB4,Kimberley,Bigge Island E (6/6),2042,13.62,0.175,0.276,2995,3.56
